DATE,SP500
2014-11,2067.560059
2014-12,2058.899902
2015-01,1994.98999
2015-02,2104.5
2015-03,2067.889893
2015-04,2085.51001
2015-05,2107.389893
2015-06,2063.110107
2015-07,2103.840088
2015-08,1972.180054
2015-09,1920.030029
2015-10,2079.360107
2015-11,2080.409912
2015-12,2043.939941
2016-01,1940.23999
2016-02,1932.22998
2016-03,2059.73999
2016-04,2065.300049
2016-05,2096.949951
2016-06,2098.860107
2016-07,2173.600098
2016-08,2170.949951
2016-09,2168.27002
2016-10,2126.149902
2016-11,2198.810059
2016-12,2238.830078
2017-01,2278.870117
2017-02,2363.639893
2017-03,2362.719971
2017-04,2384.199951
2017-05,2411.800049
2017-06,2423.409912
2017-07,2470.300049
2017-08,2471.649902
2017-09,2519.360107
2017-10,2575.26001
2017-11,2584.840088
2017-12,2673.610107
2018-01,2823.810059
2018-02,2713.830078
2018-03,2640.870117
2018-04,2648.050049
2018-05,2705.27002
2018-06,2718.370117
2018-07,2816.290039
2018-08,2901.52002
2018-09,2913.97998
2018-10,2711.73999
2018-11,2760.169922
2018-12,2506.850098
2019-01,2704.100098
2019-02,2784.48999
2019-03,2834.399902
2019-04,2945.830078
2019-05,2752.060059
2019-06,2941.76001
2019-07,2980.379883
2019-08,2926.459961
2019-09,2976.73999
2019-10,3037.560059
2019-11,3140.97998
2019-12,3230.780029
2020-01,3225.52002
2020-02,2954.219971
2020-03,2584.590088
2020-04,2912.429932
2020-05,3044.310059
2020-06,3100.290039
